date,rate
2018-07-26,1815.76 
2018-07-25,1813.72 
2018-07-24,1809.55 
2018-07-23,1817.97 
2018-07-22,1817.95 
2018-07-21,1817.92 
2018-07-20,1815.04 
2018-07-19,1819.87 
2018-07-18,1822.98 
2018-07-17,1825.04 
2018-07-16,1829.79 
2018-07-15,1829.76 
2018-07-14,1829.73 
2018-07-13,1818.96 
2018-07-12,1816.70 
2018-07-11,1818.79 
2018-07-10,1816.78 
2018-07-09,1815.20 
2018-07-08,1815.18 
2018-07-07,1815.15 
2018-07-06,1806.25 
2018-07-05,1808.13 
2018-07-04,1807.77 
2018-07-03,1807.28 
2018-07-02,1829.17 
2018-07-01,1829.14 
2018-06-30,1829.11 
2018-06-29,1824.92 
2018-06-28,1833.37 
2018-06-27,1836.91 
2018-06-26,1841.31 
2018-06-25,1839.63 
2018-06-24,1839.60 
2018-06-23,1839.57 
2018-06-22,1833.79 
2018-06-21,1842.24 
2018-06-20,1833.28 
2018-06-19,1845.42 
2018-06-18,1857.62 
2018-06-17,1857.59 
2018-06-16,1857.56 
2018-06-15,1861.34 
2018-06-14,1879.04 
2018-06-13,1879.01 
2018-06-12,1880.18 
2018-06-11,1871.69 
2018-06-10,1871.67 
2018-06-09,1871.64 
2018-06-08,1878.98 
2018-06-07,1874.04 
2018-06-06,1874.01 
2018-06-05,1870.36 
2018-06-04,1867.42 
2018-06-03,1867.39 
2018-06-02,1867.36 
2018-06-01,1866.41 
2018-05-31,1863.03 
2018-05-30,1878.89 
2018-05-29,1889.83 
2018-05-28,1873.79 
2018-05-27,1873.76 
2018-05-26,1873.73 
2018-05-25,1878.25 
2018-05-24,1880.14 
2018-05-23,1875.71 
2018-05-22,1875.68 
2018-05-21,1875.93 
2018-05-20,1875.90 
2018-05-19,1875.87 
2018-05-18,1870.48 
2018-05-17,1870.91 
2018-05-16,1870.83 
2018-05-15,1878.22 
2018-05-14,1874.95 
2018-05-13,1874.92 
2018-05-12,1874.89 
2018-05-11,1868.12 
2018-05-10,1859.22 
2018-05-09,1862.57 
2018-05-08,1870.15 
2018-05-07,1870.12 
2018-05-06,1870.09 
2018-05-05,1870.05 
2018-05-04,1876.49 
2018-05-03,1883.50 
2018-05-02,1886.84 
2018-05-01,1886.81 
